AT&T,,0.00,0.00,"SIM for AT&T PREPAID (Phone) devices",//www.att.com/catalog/en/skus/images/at%26t-sim%20for%20at%26t%20prepaid%20(phone)%20devices-white-450x350.png,sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"AT&T PREPAID SIM Card (Phone)",522405,3.7554,prod8110286,handset,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Purchase a AT&T PREPAID SIM card for your own phone.",0.00,//www.att.com/buy/prepaid-phones/att-prepaid-sim-card-kit-white-prepaid.html
Samsung,"Samsung Galaxy S22 Ultra - 256GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-burgundy-450x350.png,sku2490245,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Samsung Galaxy S22 Ultra",900000055,0,prod10490235,pda,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-256gb-burgundy.html
Samsung,"Samsung Galaxy S22 Ultra - 128GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-burgundy-450x350.png,sku2490244,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Samsung Galaxy S22 Ultra",0,0,prod10490236,pda,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-128gb-burgundy.html
Samsung,"Samsung Galaxy S22 Ultra - 128GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-phantom%20black-450x350.png,sku2490243,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Samsung Galaxy S22 Ultra",0,0,prod10490236,pda,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-128gb-phantom-black.html
Samsung,"Samsung Galaxy S22 Ultra - 512GB ",1299.99,1299.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-burgundy-450x350.png,sku2490242,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Samsung Galaxy S22 Ultra",967921,0,prod10490234,pda,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1299.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-512gb-burgundy.html
Samsung,"Samsung Galaxy S22 Ultra - 256GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-phantom%20black-450x350.png,sku2490241,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Samsung Galaxy S22 Ultra",1176518,0,prod10490235,pda,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-256gb-phantom-black.html
Samsung,"Samsung Galaxy S22 Ultra - 256GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-green-450x350.png,sku2490240,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Samsung Galaxy S22 Ultra",749842,0,prod10490235,pda,/shopmobile/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,//www.att.com/cellphones/prepaidphones/sim-card-kit-phone-prepaid.html#sku=sku7420309,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-256gb-green.html
Samsung,"Samsung Galaxy S22 - 256GB ",799.99,799.99,"Galaxy S22",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22-phantom%20black-450x350.png,sku2490229,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240041,"Samsung Galaxy S22",1143420,0,prod10490231,pda,/shopmobile/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240041,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240041,"The Samsung Galaxy S22. Take and share adorable pet portraits with the 50 MP rear camera. Video calls look incredible on the 6.1-inch display. And the seamless camera detailing provides a striking design.",799.99,//www.att.com/buy/phones/samsung-galaxy-s22-256gb-phantom-black.html
Samsung,"Samsung Galaxy S22 - 128GB ",799.99,799.99,"Galaxy S22",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22-pink%20gold-450x350.png,sku2490228,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240042,"Samsung Galaxy S22",0,0,prod10490230,pda,/shopmobile/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240042,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240042,"The Samsung Galaxy S22. Take and share adorable pet portraits with the 50 MP rear camera. Video calls look incredible on the 6.1-inch display. And the seamless camera detailing provides a striking design.",799.99,//www.att.com/buy/phones/samsung-galaxy-s22-128gb-pink-gold.html
Samsung,"Samsung Galaxy S22 - 256GB ",799.99,799.99,"Galaxy S22",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22-green-450x350.png,sku2490226,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240044,"Samsung Galaxy S22",898125,0,prod10490231,pda,/shopmobile/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240044,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240044,"The Samsung Galaxy S22. Take and share adorable pet portraits with the 50 MP rear camera. Video calls look incredible on the 6.1-inch display. And the seamless camera detailing provides a striking design.",799.99,//www.att.com/buy/phones/samsung-galaxy-s22-256gb-green.html
Samsung,"Samsung Galaxy S22 Ultra - 128GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-phantom%20white-450x350.png,sku2490236,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,"Samsung Galaxy S22 Ultra",0,0,prod10490236,pda,/shopmobile/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-128gb-phantom-white.html
Samsung,"Samsung Galaxy S22 Ultra - 256GB ",1199.99,1199.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-phantom%20white-450x350.png,sku2490235,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,"Samsung Galaxy S22 Ultra",435221,0,prod10490235,pda,/shopmobile/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1199.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-256gb-phantom-white.html
Samsung,"Samsung Galaxy S22 Ultra - 512GB ",1299.99,1299.99,"Galaxy S22 Ultra",//www.att.com/catalog/en/skus/images/samsung-galaxy%20s22%20ultra-phantom%20white-450x350.png,sku2490234,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,"Samsung Galaxy S22 Ultra",554385,0,prod10490234,pda,/shopmobile/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,//www.att.com/tablets/ipad/apple-ipad-pro-129-inch-2021.html#sku=sku1240045,"Presenting the Samsung Galaxy S22 Ultra. Create videos with the 108 MP rear camera. Use the embedded S Pen to sketch ideas on your phone. A battery for a day, and into the next, and super speed with fast processor.",1299.99,//www.att.com/buy/phones/samsung-galaxy-s22-ultra-512gb-phantom-white.html
